"file.name","behavior","label","strain","rat.id","recording","usv.count","total","percent"
"T0000085","LKP","flat-mz","SD","SD22","MBT",5,80,0.0625
"T0000091","LKP","flat-mz","WK","WK21","MBT",1,102,0.00980392156862745
"T0000096","LKP","flat-mz","WK","WK2A3C1","MBT",0,16,0
"T0000105","LKP","flat-mz","SD","SD17","MBT",3,230,0.0130434782608696
"T0000124","LKP","flat-mz","WK","WK26","MBT",0,29,0
"T0000141","LKP","flat-mz","SD","SD24","MBT",1,5,0.2
"T0000152","LKP","flat-mz","SD","SD25E4","MBT",0,57,0
"T0000155","LKP","flat-mz","SD","SD17E3","MBT",0,6,0
"T0000185","LKP","flat-mz","WK","WK29E2","MBT",0,0,NA
"T0000190","LKP","flat-mz","WK","WK34G1","MBT",0,1,0
"T0000195","LKP","flat-mz","SD","SD31E5","MBT",0,12,0
"T0000228","LKP","flat-mz","WK","WK77","MBT",0,10,0
"T0000242","LKP","flat-mz","SD","SD76","MBT",0,0,NA
"T0000254","LKP","flat-mz","SD","SD78","MBT",0,0,NA
"T0000303","LKP","flat-mz","WK","WK95","MBT",0,13,0
"T0000085","Retrieval","flat-z","SD","SD22","MBT",239,1874,0.127534685165422
